Policy_num,mobile_num,TxnID,Year,Type,Base_Premium,No_Claim_bonus_discount,road_side_assistence_addon,Tyre_addon,Electronic_addon,thirt_party_liablity_premium,Manufaturer,Party_type,registration_date,Car_number
5005,9311408449,883926609273829,2016,Renewal,0,0,0,0,0,4382,Hyundai,Third Party,15-02-2014,MH 1 GI 7664
5010,9260076940,914806959577377,2016,New,26856,0,0,0,0,4044,Others,First party,21-06-2012,MH 8 BO 6096
5013,9263088834,911521532683896,2016,New,0,0,0,0,0,4284,Maruti,Third Party,31-03-2013,MH 8 VF 9754
5017,9307659525,910666694145867,2016,Renewal,27774,0,0,0,0,4163,Honda,First party,22-10-2013,MH 4 VE 9129
5018,9258528788,930678179663512,2016,New,0,0,0,0,0,4407,Honda,Third Party,11-11-2013,MH 2 GM 5992
5019,9306433761,872678496379622,2016,Renewal,27159,0,0,0,0,4388,Hyundai,First party,20-02-2014,MH 2 GY 5924
5039,9298144611,947577765789710,2016,Renewal,0,0,0,0,0,4158,Others,Third Party,24-10-2014,MH 5 UF 6791
5042,9282382412,907062150133247,2016,Renewal,25033,0,0,0,0,4218,Hyundai,First party,23-09-2012,MH 6 LS 2410
5049,9342222746,932387237379926,2016,Renewal,27781,0,0,0,0,4345,Others,First party,24-04-2014,MH 3 RU 3927
5050,9340716079,919265304549116,2016,Renewal,20483,0,0,0,0,4066,Mahindra,First party,03-05-2013,MH 7 PK 7819
5051,9304451531,876995286227350,2016,Renewal,26265,0,0,0,0,4107,Honda,First party,07-06-2013,MH 4 LQ 7957
5056,9277370181,927115010254170,2016,New,25846,0,287,0,0,4309,Maruti,First party,05-11-2014,MH 6 OA 6619
5059,9262691704,943287631822456,2016,New,25809,0,0,0,0,4006,Maruti,First party,27-08-2013,MH 3 XZ 9701
5067,9320490350,887126242578074,2016,Renewal,0,0,0,0,0,4123,Hyundai,Third Party,10-10-2013,MH 8 NM 6565
5071,9275423053,915027770050954,2016,Renewal,25341,0,0,0,0,4209,Maruti,First party,01-06-2014,MH 8 HX 9497
5078,9335205149,939982605841728,2016,New,0,0,0,0,0,4415,Hyundai,Third Party,27-07-2014,MH 6 SD 3852
5081,9285575768,877045728898864,2016,Renewal,26938,0,0,0,0,4229,Hyundai,First party,25-04-2013,MH 6 HQ 5724
5083,9318905316,894716203113933,2016,Renewal,0,0,0,0,0,4222,Mahindra,Third Party,04-01-2014,MH 8 ZO 4351
5090,9272708230,905001688679052,2016,New,22260,0,336,0,0,4025,Honda,First party,25-01-2013,MH 2 FN 7114
5092,9279723545,920292290412669,2016,New,28372,0,355,0,0,4038,Honda,First party,25-07-2012,MH 1 CJ 4506
5093,9291349164,873336390489866,2016,Renewal,22877,0,0,0,0,4423,Honda,First party,23-09-2012,MH 8 BU 6048
5096,9272212032,869004674765099,2016,New,0,0,0,0,0,4250,Honda,Third Party,07-08-2014,MH 1 EZ 4111
5113,9309578957,940143103240470,2016,New,21090,1249,0,0,0,4264,Mahindra,First party,04-08-2014,MH 2 HK 9826
5114,9320070978,881604644527100,2016,New,0,0,0,0,0,4186,Honda,Third Party,24-09-2014,MH 4 UZ 2968
5118,9310159819,910812057843725,2016,Renewal,27390,0,346,0,0,4442,Hyundai,First party,01-11-2012,MH 3 RP 9026
5122,9305236874,938126939440163,2016,Renewal,21795,0,0,0,0,4188,Hyundai,First party,10-07-2014,MH 2 KM 8197
5132,9331636306,855049607612021,2016,Renewal,28487,0,0,0,0,4316,Maruti,First party,15-11-2013,MH 4 SO 9349
5133,9266110950,913894170758090,2016,Renewal,20285,0,0,0,0,4283,Hyundai,First party,31-05-2013,MH 1 YQ 7435
