Policy_num,mobile_num,TxnID,Year,Type,Base_Premium,No_Claim_bonus_discount,road_side_assistence_addon,Tyre_addon,Electronic_addon,thirt_party_liablity_premium,Manufaturer,Party_type,registration_date,Car_number
5001,9288156805,850494959188156,2018,Renewal,29572,0,0,0,0,4241,Maruti,First party,17-12-2014,MH 7 YY 5506
5011,9333176871,920762337052325,2018,Renewal,26857,0,0,0,253,4284,Honda,First party,23-10-2013,MH 4 YU 3966
5015,9333524799,883958081079789,2018,Renewal,28882,0,0,0,0,4480,Honda,First party,11-12-2012,MH 2 ND 8164
5021,9320332393,888786958473963,2018,Renewal,29560,0,0,0,316,4032,Maruti,First party,10-08-2012,MH 7 QD 7103
5023,9277855016,925840045720237,2018,Renewal,23347,1377,0,0,0,4332,Others,First party,11-05-2014,MH 5 WM 3723
5025,9332311509,884366794024501,2018,Renewal,29420,0,0,167,0,4305,Hyundai,First party,28-08-2012,MH 3 BO 6259
5032,9334384883,937528637574124,2018,New,20999,0,0,0,0,4042,Maruti,First party,24-03-2014,MH 7 QQ 3649
5047,9275431894,856252261809924,2018,New,28774,0,0,0,0,4407,Mahindra,First party,28-04-2013,MH 6 NE 9372
5057,9338106438,944037612035345,2018,Renewal,20891,0,0,0,0,4121,Honda,First party,08-08-2013,MH 8 CH 7430
5061,9297540782,852708058329235,2018,New,24701,0,0,0,0,4030,Honda,First party,24-03-2014,MH 3 QG 7366
5073,9314472426,943896792641715,2018,Renewal,23754,1380,0,0,0,4496,Maruti,First party,28-08-2013,MH 7 UB 6694
5076,9283478360,919065000673164,2018,Renewal,20147,0,240,0,0,4172,Honda,First party,29-03-2013,MH 3 HC 7673
5088,9308186282,904409780990433,2018,New,21541,0,0,0,0,4485,Maruti,First party,27-10-2013,MH 7 DF 6229
5091,9344134326,907121130494606,2018,Renewal,26656,0,0,0,0,4166,Maruti,First party,09-07-2013,MH 8 GU 5702
5095,9334791335,928115493439165,2018,New,22276,0,214,0,0,4302,Hyundai,First party,02-12-2014,MH 5 VD 5434
5097,9314747766,929487457477031,2018,New,25185,0,0,0,321,4021,Honda,First party,04-04-2012,MH 5 WD 7856
5100,9321672802,863293717225512,2018,New,26250,1399,0,0,0,4056,Maruti,First party,06-04-2013,MH 8 IN 2674
5104,9331126176,886463701823839,2018,New,21176,0,0,0,0,4059,Others,First party,27-05-2012,MH 6 AM 3243
5105,9317471491,856892006327457,2018,Renewal,0,0,0,0,0,4144,Hyundai,Third Party,10-05-2014,MH 7 HO 4025
5115,9343538295,849483507951864,2018,Renewal,29459,0,272,0,0,4318,Maruti,First party,15-03-2014,MH 7 WO 6102
5117,9271377000,921094954930705,2018,Renewal,0,0,0,0,0,4257,Maruti,Third Party,21-06-2014,MH 6 VB 7879
5125,9260297129,942660286274850,2018,Renewal,23960,0,0,0,0,4206,Honda,First party,19-12-2014,MH 8 AF 9725
5126,9256833581,894238864918606,2018,New,29770,0,0,0,0,4481,Hyundai,First party,18-11-2014,MH 6 JH 5581
5138,9302316788,872010653618518,2018,New,29144,0,0,0,0,4140,Hyundai,First party,20-09-2013,MH 5 PA 8160
5146,9274214358,889070245139058,2018,Renewal,28420,0,0,0,0,4104,Hyundai,First party,06-05-2014,MH 4 XA 5300
5155,9310156826,863082184978636,2018,Renewal,26846,0,0,0,0,4141,Honda,First party,21-07-2013,MH 1 TG 4852
5159,9259606696,884567967466609,2018,New,0,0,0,0,0,4390,Honda,Third Party,01-03-2013,MH 3 NG 5928
5163,9292212312,938886281696753,2018,Renewal,21750,1347,0,0,0,4327,Honda,First party,28-06-2014,MH 1 QX 2911
5178,9286677760,915743006659600,2018,New,23380,0,310,186,0,4261,Others,First party,29-05-2013,MH 4 BN 4548
5179,9266044331,851405026524529,2018,New,0,0,0,0,0,4072,Maruti,Third Party,24-05-2012,MH 6 SL 2976
