Policy_num,mobile_num,TxnID,Year,Type,Base_Premium,No_Claim_bonus_discount,road_side_assistence_addon,Tyre_addon,Electronic_addon,thirt_party_liablity_premium,Manufaturer,Party_type,registration_date,Car_number
5000,9279770389,941406567249226,2019,New,20446,0,0,0,0,4361,Maruti,First party,15-07-2012,MH 5 FR 9249
5006,9319153375,899863514429407,2019,Renewal,0,0,0,0,0,4215,Maruti,Third Party,07-02-2014,MH 6 PF 6395
5008,9335976401,942807470900417,2019,Renewal,26126,0,392,0,0,4340,Maruti,First party,06-05-2014,MH 2 YJ 5185
5012,9269355560,888775549529446,2019,Renewal,23338,0,0,215,0,4381,Others,First party,12-04-2012,MH 2 XV 8219
5028,9343830102,883887649805255,2019,New,0,0,0,0,0,4080,Honda,Third Party,11-02-2013,MH 4 EK 6066
5035,9261494860,888750940884812,2019,Renewal,23205,0,0,197,255,4095,Hyundai,First party,28-09-2012,MH 7 FM 7026
5041,9276561620,874036805189732,2019,New,22774,0,0,0,0,4195,Hyundai,First party,20-09-2014,MH 8 HL 9242
5045,9332902904,905472986299125,2019,Renewal,29619,0,0,0,0,4455,Honda,First party,11-01-2013,MH 6 BA 7557
5055,9281854819,947951340030951,2019,New,26265,1202,0,0,0,4403,Honda,First party,30-10-2013,MH 8 NI 3843
5062,9267741196,866989875905024,2019,New,0,0,0,0,0,4373,Mahindra,Third Party,07-09-2013,MH 3 QA 7062
5063,9337238691,938185630075726,2019,Renewal,28470,1206,0,0,0,4380,Honda,First party,17-02-2014,MH 3 DS 7507
5065,9265443363,851939925798267,2019,Renewal,29232,0,0,0,0,4292,Maruti,First party,21-08-2013,MH 1 FY 4100
5068,9319696806,862578832376448,2019,New,20809,1244,262,0,301,4335,Others,First party,24-03-2014,MH 6 ZD 3609
5072,9262690112,872291209224463,2019,Renewal,0,0,0,0,0,4172,Honda,Third Party,15-11-2014,MH 4 VK 6730
5089,9332190884,849336626876779,2019,New,0,0,0,0,0,4029,Maruti,Third Party,08-07-2012,MH 1 ZS 5760
5098,9326987309,868009637922468,2019,New,24887,0,0,0,347,4235,Honda,First party,05-05-2013,MH 4 QA 6339
5108,9292146338,875413666729270,2019,Renewal,20735,0,369,223,0,4125,Maruti,First party,16-01-2014,MH 1 TJ 7436
5109,9303012488,870268243643311,2019,Renewal,27995,0,0,0,0,4151,Maruti,First party,12-09-2012,MH 2 ZY 6940
5111,9336378844,852104812341294,2019,New,29929,0,0,0,0,4048,Honda,First party,07-10-2013,MH 5 RP 5986
5112,9292867621,872453820741432,2019,New,27159,0,0,0,0,4012,Hyundai,First party,05-07-2012,MH 2 KO 6065
5119,9308128977,882309493244483,2019,New,22604,0,0,0,0,4283,Hyundai,First party,25-12-2013,MH 7 ZD 8111
5120,9259893395,858669264995315,2019,New,25377,1240,0,0,0,4224,Maruti,First party,19-06-2013,MH 8 WD 6876
5121,9292267718,939401970514624,2019,New,0,0,0,0,0,4444,Others,Third Party,05-08-2013,MH 2 FF 4351
5129,9308051594,884493321285219,2019,New,21866,0,0,0,0,4246,Maruti,First party,18-09-2014,MH 3 ZH 3055
5130,9306018214,853183887680963,2019,Renewal,0,0,0,0,0,4366,Maruti,Third Party,14-04-2014,MH 1 IN 3688
5136,9328012884,898423014491127,2019,New,29083,0,0,0,336,4221,Honda,First party,18-07-2014,MH 2 KJ 8323
5143,9325544814,927558890501281,2019,Renewal,29259,0,0,0,0,4314,Maruti,First party,21-07-2014,MH 2 QX 4299
5153,9300970674,866748394508017,2019,New,25087,0,0,0,0,4490,Hyundai,First party,26-11-2014,MH 6 GD 5330
5157,9339890533,882171137043312,2019,New,0,0,0,0,0,4011,Hyundai,Third Party,10-06-2012,MH 6 KV 6919
5160,9281705148,862342671855061,2019,Renewal,25524,1340,0,0,289,4152,Mahindra,First party,08-08-2012,MH 6 MS 7909
5166,9318604491,910010025833213,2019,Renewal,23835,0,0,0,0,4457,Others,First party,22-07-2012,MH 3 DZ 8870
5169,9261881757,862696296118389,2019,Renewal,23810,0,0,0,250,4274,Honda,First party,25-01-2013,MH 7 YK 5177
5170,9315867434,925541844247245,2019,Renewal,21797,0,388,0,0,4434,Honda,First party,13-09-2013,MH 1 PW 5749
5172,9338792765,857403702221898,2019,New,25608,1204,0,0,0,4421,Maruti,First party,10-03-2013,MH 6 QU 4821
5174,9270449307,927322771655413,2019,New,26762,0,295,0,0,4135,Honda,First party,04-08-2013,MH 3 KL 3164
5177,9267976409,880721917205391,2019,New,23461,0,0,0,0,4482,Hyundai,First party,23-07-2012,MH 4 ZD 2679
