Policy_num,mobile_num,TxnID,Year,Type,Base_Premium,No_Claim_bonus_discount,road_side_assistence_addon,Tyre_addon,Electronic_addon,thirt_party_liablity_premium,Manufaturer,Party_type,registration_date,Car_number
5003,9271563997,855075020358310,2015,New,25963,0,0,0,0,4189,Others,First party,12-11-2014,MH 1 VG 7055
5007,9336355451,917601465733502,2015,New,0,0,0,0,0,4491,Hyundai,Third Party,15-08-2013,MH 1 VS 8685
5024,9307754895,869844100292471,2015,New,27254,0,0,0,0,4268,Honda,First party,31-03-2013,MH 3 AN 5379
5026,9317359159,910448825990870,2015,New,21524,0,0,0,0,4398,Maruti,First party,13-05-2012,MH 4 CV 5743
5027,9300879879,935421842352224,2015,Renewal,29865,1317,0,0,0,4318,Maruti,First party,03-09-2012,MH 5 CS 5969
5029,9283674316,921099000431488,2015,New,22239,0,0,0,0,4101,Honda,First party,16-12-2013,MH 3 BX 7052
5031,9281603458,893166283950356,2015,Renewal,27438,0,0,0,0,4416,Hyundai,First party,02-07-2012,MH 8 GT 4401
5033,9308083288,890994618615631,2015,New,0,0,0,0,0,4428,Maruti,Third Party,05-08-2012,MH 5 TN 7498
5034,9288108562,863742752941965,2015,Renewal,23820,0,0,0,0,4062,Others,First party,18-10-2014,MH 4 DQ 7104
5036,9275509402,899098529979860,2015,New,25915,0,0,0,0,4457,Maruti,First party,15-12-2014,MH 4 KW 7626
5040,9289204950,870256064137775,2015,New,26005,0,0,199,0,4002,Mahindra,First party,29-07-2013,MH 6 QL 3824
5043,9309579504,850092256342664,2015,Renewal,27254,0,0,0,0,4312,Maruti,First party,29-10-2014,MH 7 PR 9738
5044,9282925561,877291614852455,2015,New,22052,0,0,0,256,4313,Hyundai,First party,24-03-2013,MH 1 SF 4137
5054,9333573774,883154945721707,2015,New,26462,0,0,0,0,4500,Others,First party,07-09-2014,MH 2 EQ 2625
5058,9259170332,942201730823009,2015,New,29740,0,368,0,0,4487,Maruti,First party,20-08-2014,MH 3 CK 7311
5069,9335965051,853907934442199,2015,New,28280,0,0,0,0,4484,Others,First party,29-04-2014,MH 4 GD 7844
5070,9314130949,882639927646247,2015,New,22869,0,0,0,0,4248,Maruti,First party,02-02-2013,MH 4 FF 6275
5075,9325863280,879649327297018,2015,Renewal,29119,0,0,0,0,4275,Mahindra,First party,06-12-2013,MH 4 KI 6374
5082,9299361289,901487672251138,2015,Renewal,21358,0,0,0,0,4077,Honda,First party,22-08-2014,MH 8 EX 7072
